Date,Open,High,Low,Close,Adj Close,Volume
2019-06-24,442.25,447.75,440.25,446.75,446.75,172094
2019-06-25,451,453,446.5,447.5,447.5,158426
2019-06-26,447,447.25,440.75,443.25,443.25,158878
2019-06-27,443,445.5,438.5,440,440,141131
2019-06-28,439,455,411,420.25,420.25,34514
2019-07-01,424.25,424.75,410.25,412,412,13482
2019-07-02,412.5,415.5,408.25,413.5,413.5,6526
2019-07-05,433,435.5,427,434,434,2127
2019-07-08,440.75,442.75,432,438.5,438.5,2083
2019-07-09,437.25,437.75,429.25,431.75,431.75,445
2019-07-10,430,434.75,428,434.25,434.25,494
2019-07-11,433.25,448,433.25,447.75,447.75,597
2019-07-12,447.75,457,447.75,449.5,449.5,169365
2019-07-15,459.25,460,439.75,441,441,164465
2019-07-16,437.75,440.75,429,435.25,435.25,144486
2019-07-17,435.25,441.5,431.5,436,436,125868
2019-07-18,435,436,423.25,424.5,424.5,156004
2019-07-19,425.5,434,423.75,430.75,430.75,114521
2019-07-22,430.75,432.25,421,422.25,422.25,110947
2019-07-23,423.75,426.5,418.25,425.5,425.5,131110
2019-07-24,425,430.5,421.5,424,424,93160
2019-07-25,424,425.75,418,418.5,418.5,172277
2019-07-26,418.25,419.5,413,414.5,414.5,120749
2019-07-29,413.25,419.5,412,417,417,90112
2019-07-30,417,417,410.25,411.25,411.25,81026
2019-07-31,410.75,413.75,400,400.25,400.25,151787
2019-08-01,401.75,403,387.25,392.75,392.75,145330
2019-08-02,394.75,400,393.5,399.5,399.5,90361
2019-08-05,400,406.75,391,405.25,405.25,109686
2019-08-06,405.75,408,400.75,404,404,113069
2019-08-07,404.75,407.5,400.5,406.5,406.5,167530
2019-08-08,407.25,412,405.5,411,411,184792
2019-08-09,410.75,417,407.25,410.25,410.25,185366
2019-08-12,409.75,410,385.25,385.25,385.25,248125
2019-08-13,379,379,365.5,366,366,312969
2019-08-14,366.25,370.5,358.5,359,359,185092
2019-08-15,360.25,363.75,358.25,360.75,360.75,108781
2019-08-16,361.5,371.25,361.25,371,371,104806
2019-08-19,367.25,368.25,363.25,365,365,78542
2019-08-20,366.5,370.25,359.25,359.5,359.5,89474
2019-08-21,360,364,357,362.5,362.5,125855
2019-08-22,363,366.5,359,363.25,363.25,99247
2019-08-23,362.75,363,357.5,359.75,359.75,169868
2019-08-26,358,362,357,358.5,358.5,122537
2019-08-27,359,360,356.75,357,357,129886
2019-08-28,357.25,365.5,355.25,362.75,362.75,172927
2019-08-29,363,369,357.5,359.75,359.75,122794
2019-08-30,359.75,364.5,356.75,358,358,11240
2019-09-03,358.75,359,349,349.75,349.75,5335
2019-09-04,350.5,351,344.5,346,346,3851
2019-09-05,346.5,349.5,346.5,346.5,346.5,1813
2019-09-06,347.5,348.25,341.5,342.5,342.5,1357
2019-09-09,343.25,343.25,340,340.75,340.75,938
2019-09-10,344,349.5,344,348.5,348.5,314
2019-09-11,349.75,349.75,344.75,348.25,348.25,328
2019-09-12,349.75,354.5,349.5,354.5,354.5,152
2019-09-13,358.5,358.5,355.5,355.5,355.5,145836
2019-09-16,372,374.75,367.5,374,374,133444
2019-09-17,374,374.25,366,368,368,154625
2019-09-18,367.75,372,365.75,371.25,371.25,126832
2019-09-19,371.5,373.75,369.5,372.75,372.75,117069
2019-09-20,372.75,374.5,369.5,370.75,370.75,132998
2019-09-23,371.25,374.5,371,373.25,373.25,100443
2019-09-24,372,376,370.25,374.75,374.75,144294
2019-09-25,375.25,377.5,372.25,374.25,374.25,119189
2019-09-26,373.5,375.75,368.25,372.5,372.5,175419
2019-09-27,371.25,373,369.75,371.5,371.5,90796
2019-09-30,372,388.25,371.5,388,388,337247
2019-10-01,386.75,392.75,385.25,392.5,392.5,227065
2019-10-02,390.5,391.75,385.5,387.75,387.75,158921
2019-10-03,387,390.75,385.5,388.75,388.75,125489
2019-10-04,388,389,383.75,384.75,384.75,116336
2019-10-07,387.5,387.75,385,387,387,100421
2019-10-08,387.5,396.5,386,395.75,395.75,200460
2019-10-09,395.5,397.25,393,394.25,394.25,140853
2019-10-10,392.75,395,378.25,380.25,380.25,297046
2019-10-11,380.75,398.75,380.5,397.75,397.75,272436
2019-10-14,401.25,402.5,393.25,397.75,397.75,170713
2019-10-15,397,398.5,392.5,393.25,393.25,143675
2019-10-16,392,392.75,387.5,391.75,391.75,139675
2019-10-17,391.75,397.25,391.5,394.75,394.75,141532
2019-10-18,394,395.75,389.75,391,391,122010
2019-10-21,390,393.75,386.5,387.25,387.25,150187
2019-10-22,387,392.5,385,388,388,136694
2019-10-23,387.75,389.5,384,387.75,387.75,117561
2019-10-24,388.5,390.75,385.25,386.75,386.75,130664
2019-10-25,387,390,385.75,386.75,386.75,131677
2019-10-28,386,386.5,383.25,384,384,122790
2019-10-29,383.5,387.5,382,386.25,386.25,153732
2019-10-30,385.75,391.25,385.25,390.75,390.75,177034
2019-10-31,390.25,391,384.75,390,390,176193
2019-11-01,389.25,391.75,386.25,389.25,389.25,151943
2019-11-04,386.75,387.75,383,383.25,383.25,145373
2019-11-05,383.25,384.75,380.5,381.75,381.75,157127
2019-11-06,382.25,385,377.5,378.75,378.75,185339
2019-11-07,379.25,380,373.75,375.25,375.25,219147
2019-11-08,375.25,383.75,372.5,377.25,377.25,343769
2019-11-11,376,377,372.5,373.25,373.25,211215
2019-11-12,373.5,378,372.75,377.75,377.75,220513
2019-11-13,377,377.75,375,375.25,375.25,195982
2019-11-14,375.25,377.5,374.5,375.75,375.75,144893
2019-11-15,375.5,376.5,370.75,371.25,371.25,140175
2019-11-18,371,371.75,367.5,367.75,367.75,206268
2019-11-19,367.75,373,367.75,370,370,202015
2019-11-20,369.75,370.5,365.75,366.75,366.75,297024
2019-11-21,366.75,369.75,366.25,368.5,368.5,158701
2019-11-22,368,370.25,367.5,368.75,368.75,228112
2019-11-25,368.75,372.75,368.25,370.5,370.5,199301
2019-11-26,369.75,370.5,367,367.5,367.5,207678
2019-11-27,367.25,368.75,362.25,362.75,362.75,163967
2019-12-02,371.75,375.5,371,373.5,373.5,6280
2019-12-03,373.75,376,371.5,372,372,4939
2019-12-04,371.75,373.5,367.75,368.75,368.75,2985
2019-12-05,368.5,369.75,365.25,365.5,365.5,3029
2019-12-06,364.75,368.75,364.75,366.5,366.5,960
2019-12-09,366.5,368,365,365.75,365.75,639
2019-12-10,365.75,367,362.5,363.25,363.25,888
2019-12-11,363,363,357,357.75,357.75,259
2019-12-12,358.25,368.75,358.25,367,367,664
2019-12-13,373.75,374.5,366.25,366.25,366.25,230831
2019-12-16,383.5,389.5,383.25,388,388,180896
2019-12-17,387.5,390.5,386.25,390,390,118236
2019-12-18,389.25,390,385.75,387,387,125534
2019-12-19,387,389,385,386.5,386.5,99129
2019-12-20,386.5,389.5,386,387.75,387.75,85326
2019-12-23,388,390.25,387.25,388.75,388.75,82257
2019-12-26,388,389,386.5,388.5,388.5,49930
2019-12-27,388,391,388,390,390,85213
2019-12-30,389.25,392,386.75,388.25,388.25,123528
2019-12-31,388.25,389.75,386.25,387.75,387.75,85103
2020-01-02,387.75,392,387.25,391.5,391.5,103987
2020-01-03,391.5,392,385.5,386.5,386.5,125931
2020-01-06,386.25,387.75,382.75,384.75,384.75,112130
2020-01-07,385,385.75,383.5,384.5,384.5,93541
2020-01-08,384,385.5,382.25,384.25,384.25,135523
2020-01-09,383.75,387,382.25,383.25,383.25,130937
2020-01-10,383.25,386.75,376.5,385.75,385.75,226659
2020-01-13,386.5,389.5,385.5,389.5,389.5,139994
2020-01-14,389.25,390.5,388.25,389,389,115957
2020-01-15,388.75,390.25,386.5,387.5,387.5,141478
2020-01-16,387.25,387.75,375.25,375.5,375.5,230557
2020-01-17,377,389.5,376.75,389.25,389.25,293121
2020-01-21,389,389.25,384.25,387.5,387.5,182958
2020-01-22,387.5,391,386.75,388.75,388.75,155603
2020-01-23,388.5,394,387.5,393.75,393.75,256298
2020-01-24,393.25,393.25,386.5,387.25,387.25,196121
2020-01-27,384.25,384.75,377.25,380.5,380.5,264471
2020-01-28,382.5,387,378.5,386.5,386.5,243266
2020-01-29,385.5,388.25,382.75,384.25,384.25,136811
2020-01-30,384.5,385,378.5,379.5,379.5,160206
2020-01-31,381.5,382.75,378.75,381.25,381.25,151805
2020-02-03,380.5,382,376.5,378.75,378.75,216443
2020-02-04,378.25,383.5,378.25,382.25,382.25,176002
2020-02-05,381.5,383.25,379.5,380.75,380.75,122103
2020-02-06,380.25,381.75,376,379.25,379.25,191891
2020-02-07,380.25,385,380,383.5,383.5,256721
2020-02-10,383.25,383.5,379,381.75,381.75,219017
2020-02-11,381,382,378,379.75,379.75,200407
2020-02-12,379.75,383.75,378.25,383,383,241461
2020-02-13,382.25,382.75,379,379.5,379.5,202459
2020-02-14,379.5,381.5,376.25,377.75,377.75,216864
2020-02-18,378.5,383.25,378,383,383,215110
2020-02-19,382.25,382.75,378.5,380.5,380.5,172265
