runtimes,rmse_LSTM,rmse_RNN,rmse_SLR
0,10.4215,21.8255,27.6639
1,26.9331,101.1994,15.1662
2,10.9611,43.9315,25.5878
3,17.0092,8.2155,16.4243
4,10.1660,9.3530,14.6947
5,17.1141,16.4283,13.2035
6,10.2705,10.6337,26.2417
7,34.2400,11.7358,21.7298
8,28.6257,125.3491,15.1810
9,11.7052,109.6941,14.3263
10,12.0666,9.8208,13.8807
11,25.7376,322.5927,13.8403
12,25.6564,143.1989,33.7419
13,16.9413,8.5747,11.9137
14,19.7863,44.3549,19.9817
15,16.8341,39.9625,10.1046
16,18.8793,11.5996,12.3774
17,11.6773,17.7402,32.4510
18,28.0046,21.0455,15.8606
19,10.4907,34.7272,21.1226
20,10.8434,20.6356,17.8892
21,18.5918,10.9571,25.2009
22,12.4378,10.1467,23.1232
23,14.5870,11.0985,23.9499
24,28.3801,11.4618,25.2844
25,11.4103,8.3074,18.3824
26,23.3809,8.0595,25.3636
27,18.6087,396.5075,30.1193
28,15.1962,36.8589,15.5477
29,42.4547,96.6130,17.0845
30,12.8099,8.1348,17.4947
31,21.6629,8.4779,16.9720
32,18.6883,16.3512,9.2415
33,20.7217,8.6498,27.2015
34,10.4614,132.5593,18.0994
35,19.2736,10.4088,13.6291
36,17.1342,141.5263,23.2614
37,15.9995,9.7752,16.5679
38,15.3804,7.8380,13.3116
39,14.0238,11.9116,21.1125
40,22.4355,39.2551,13.3684
41,15.7177,14.7969,14.5547
42,32.4254,19.3643,25.1772
43,22.3960,7.9629,30.2509
44,24.9468,13.3607,17.6602
45,23.8438,10.5774,19.3058
46,19.0203,10.7949,14.5639
47,14.5162,10.1484,25.5309
48,9.9389,8.5419,24.4495
49,16.7446,13.8170,22.8447
50,10.6526,26.5510,19.1392
51,18.8293,10.1486,21.4725
52,21.7816,91.2391,26.6552
53,24.5275,28.5951,34.8725
54,9.8892,13.2406,19.5356
55,12.0026,8.3548,21.3216
56,14.1569,8.1398,28.7607
57,26.6442,140.6166,20.0977
58,33.7756,8.5514,18.0789
59,41.8749,8.7242,12.1222
60,28.7088,21.3230,22.8255
61,23.1659,129.5646,16.5417
62,10.2791,18.8057,15.5191
63,36.3699,170.3321,23.5261
64,13.4643,44.1873,18.6716
65,20.6298,8.2678,11.1616
66,10.3753,11.0932,20.6604
67,24.7583,16.3492,17.2606
68,12.4253,14.7880,23.1251
69,24.3666,8.3897,24.4612
70,9.8741,18.1810,9.5730
71,8.4867,12.0763,19.7648
72,12.4966,127.0270,21.1079
73,30.3980,10.3850,11.2892
74,11.6811,11.5211,22.0715
75,11.3845,179.9548,20.2460
76,24.3035,137.3705,15.9724
77,11.4917,26.8859,29.8408
78,29.6779,9.0747,10.2434
79,13.6576,184.5666,16.3527
80,9.5521,124.6730,32.7231
81,40.0876,9.0556,12.3093
82,19.0179,99.5443,18.1352
83,12.4527,27.7303,10.3171
84,10.3971,9.4698,29.2965
85,14.7277,8.8905,20.6259
86,13.4664,140.4961,24.1697
87,15.2408,42.8182,29.7425
88,28.7046,138.9444,21.8578
89,13.4987,10.2785,17.4808
90,12.6586,148.4873,17.0783
91,10.7146,14.0096,17.4314
92,19.6655,19.5521,12.8766
93,22.9088,10.4616,18.0085
94,20.5733,10.4730,19.6296
95,9.0388,9.4455,13.2576
96,13.8100,132.3016,25.5770
97,22.0980,33.7687,23.1645
98,23.9771,202.0794,23.7977
99,44.5232,9.0347,28.3736
