runtimes,rmse_LSTM,rmse_RNN,rmse_SLR
0,17.5301,18.5414,27.3019
1,13.5325,31.1438,42.7853
2,15.6427,18.9661,66.4789
3,12.7671,29.7807,43.5708
4,14.4491,21.5012,24.9014
5,17.5855,25.4842,26.8786
6,18.7855,35.4656,52.3625
7,19.8472,25.7998,32.2093
8,13.6703,26.0872,31.3306
9,14.2206,22.7133,37.0289
10,17.3992,27.6124,21.9157
11,16.7004,20.1535,21.6637
12,17.7338,19.9014,44.2141
13,20.5316,22.3179,47.6227
14,15.5136,24.0537,28.5692
15,20.1339,31.8963,20.2009
16,17.0468,44.6230,44.5814
17,15.9797,26.4274,51.3987
18,16.2645,38.1121,31.5084
19,14.0003,36.1049,28.3077
20,18.2798,31.0726,26.8895
21,17.4112,20.7370,36.3179
22,16.5835,33.6074,34.3743
23,15.5012,25.1031,36.1948
24,14.1403,41.2059,29.7498
25,16.3082,27.9769,64.2822
26,15.7914,38.8059,32.6654
27,13.4431,22.8363,21.3566
28,14.3138,31.1791,35.9589
29,15.8511,25.0699,23.3995
30,16.0884,33.3950,60.3194
31,12.8134,21.2208,56.0503
32,15.3536,22.2578,29.3421
33,13.8493,18.8013,30.0961
34,17.4681,35.8713,23.7510
35,17.6756,31.8169,23.9891
36,14.4741,22.4595,21.2360
37,19.6927,24.5776,36.5196
38,13.5154,25.9753,36.1632
39,17.0346,22.3106,25.4414
40,15.6165,23.4734,24.0100
41,17.8642,24.5062,20.2776
42,14.3858,22.6074,34.4945
43,16.8857,18.7483,49.8108
44,15.3085,25.6697,16.0134
45,15.8648,23.6252,24.4266
46,16.5062,15.9336,38.0282
47,21.1627,38.8745,38.8629
48,17.4756,23.1164,23.8564
49,16.1850,42.7551,33.2074
50,16.4739,17.2844,24.5797
51,14.0571,25.1816,41.6732
52,17.0059,27.3635,30.8359
53,15.2304,19.6818,17.7890
54,16.7775,22.3762,20.7079
55,14.8791,27.5860,20.2171
56,17.8434,22.8240,26.1834
57,18.9463,28.1509,30.0230
58,16.4493,39.4689,25.4422
59,20.4429,31.6160,22.4071
60,16.2495,22.8926,21.5922
61,15.0330,20.4541,31.2526
62,17.4007,31.3197,75.6582
63,16.9100,26.0923,37.7743
64,15.0082,42.0818,35.5043
65,16.6325,24.5424,25.1694
66,16.0140,26.8435,28.1214
67,13.9052,32.6535,29.1600
68,22.1976,21.6138,16.4777
69,15.6411,25.5598,23.1559
70,13.8585,23.3053,39.1252
71,21.7737,23.1671,29.3847
72,12.7290,25.9541,35.4638
73,14.1259,29.9608,34.1566
74,12.7450,24.3727,29.9383
75,15.3291,24.2336,30.9590
76,16.6225,24.0780,39.2003
77,19.7336,27.7440,23.6050
78,26.5251,20.8909,67.3497
79,17.4875,18.7756,38.4265
80,17.0647,26.2933,37.3758
81,15.6186,31.8803,21.0001
82,17.7855,26.5971,24.6780
83,16.1648,38.9192,27.5702
84,17.5146,31.9882,25.9590
85,23.8567,52.4570,46.1940
86,15.5039,22.9463,34.9763
87,16.3274,24.6439,57.3711
88,16.3422,18.1310,25.5729
89,13.2129,24.0823,48.3293
90,17.2360,24.8651,42.9483
91,17.1940,25.0401,33.6279
92,13.9534,20.5238,23.7753
93,14.7044,28.1384,19.4515
94,15.1721,22.3539,20.9954
95,13.9386,28.4952,29.2059
96,12.9254,26.4466,21.5424
97,16.9166,41.1757,22.3215
98,12.3748,42.2399,51.1250
99,15.2841,27.2862,27.4997
