runtimes,rmse_LSTM,rmse_RNN,rmse_SLR
0,12.0602,20.1574,22.6458
1,14.4417,25.3221,43.4074
2,14.7665,34.8127,29.1971
3,15.0082,26.7328,29.7482
4,13.9640,46.9322,42.2890
5,14.9417,36.0213,18.8331
6,12.6132,24.0571,21.7431
7,12.3342,19.4746,15.4579
8,13.3139,23.5156,21.8501
9,12.8315,27.9062,53.7052
10,14.9057,31.4761,17.8651
11,13.0006,35.2405,78.8081
12,14.5368,30.4714,66.5493
13,13.7960,38.6660,35.3704
14,12.6184,25.5655,21.5681
15,13.5392,38.5880,23.6652
16,12.3915,29.5774,36.7799
17,12.9040,40.8329,25.3255
18,13.1599,20.4017,32.2786
19,12.4575,28.2435,86.3429
20,14.8638,28.7017,33.2823
21,12.6850,28.6604,24.5382
22,12.2728,25.9095,15.3286
23,13.9917,33.5231,48.6809
24,13.7783,32.7231,25.4590
25,11.3993,25.5217,22.0089
26,22.4196,19.1539,19.0045
27,12.4203,24.4086,30.8495
28,11.9418,34.1820,37.2310
29,12.7076,33.6297,25.6279
30,13.5698,29.9615,30.8910
31,12.6507,24.8495,33.0650
32,16.4007,23.7217,18.6153
33,14.9969,31.5719,26.7746
34,12.3240,30.3842,53.2095
35,12.8841,29.3014,57.7188
36,12.4906,41.9729,36.9392
37,17.4704,27.2658,41.4926
38,15.1093,34.4311,54.8228
39,12.6730,25.8338,42.1259
40,12.5766,30.2354,23.9346
41,12.7921,19.0735,26.3475
42,14.3077,37.2800,27.8860
43,13.2334,22.9840,14.0004
44,14.5373,40.7570,33.3962
45,13.7215,21.3093,18.6910
46,13.2517,25.0798,23.7451
47,12.7856,33.0889,22.5418
48,12.7146,25.3624,26.7199
49,13.1337,40.3798,42.0669
50,17.5788,41.1421,14.6505
51,14.4158,40.4839,21.0704
52,13.2836,25.6739,25.3758
53,13.0670,33.7650,25.1154
54,17.5921,22.8466,22.2845
55,11.8024,23.6574,31.0195
56,16.2618,31.7165,34.6485
57,12.9221,30.6619,29.5198
58,15.1502,21.8997,44.6395
59,12.5889,38.5362,18.3741
60,18.9472,25.2916,28.5166
61,13.5389,40.1869,17.7177
62,18.3439,27.4365,22.1822
63,14.7567,26.0889,16.4065
64,12.3406,24.1590,60.5417
65,15.5836,29.0913,22.1775
66,12.8595,24.2424,39.0625
67,12.8647,24.6558,30.8651
68,12.3691,35.9868,40.8151
69,12.6084,39.8655,23.8115
70,13.0623,30.8851,44.3812
71,12.5937,38.8624,54.2288
72,12.7180,30.9477,23.2027
73,13.6048,39.2800,21.8317
74,16.2960,36.9085,28.3568
75,16.1179,31.1207,29.5735
76,15.7645,34.8194,23.5585
77,16.4200,31.4549,24.3942
78,13.7230,30.4848,44.1794
79,16.3258,20.2925,35.1150
80,15.2005,36.9140,49.7259
81,12.9377,20.5646,24.8706
82,15.3810,27.2215,22.3319
83,12.4702,27.5563,22.7766
84,12.4297,39.3629,88.1990
85,12.9964,32.8728,18.1712
86,15.1491,22.4442,21.9462
87,12.1262,26.3356,25.1979
88,12.6673,29.2119,18.8975
89,18.1648,16.9025,90.6678
90,15.3889,34.7774,32.0121
91,12.5131,39.7137,17.8686
92,12.7045,23.5865,30.0172
93,13.3023,27.8075,23.0763
94,12.4978,22.0774,22.6973
95,13.2157,19.3794,37.0138
96,18.0605,54.3492,33.8767
97,15.8460,22.4463,26.5455
98,12.6324,31.9008,33.3185
99,12.0337,29.0985,45.9891
