runtimes,rmse_LSTM,rmse_RNN,rmse_SLR
0,13.4127,21.5842,90.7782
1,12.9035,31.5211,32.8032
2,13.5252,22.1989,19.2205
3,12.8859,41.7324,28.9119
4,13.1211,45.0826,138.9328
5,18.1033,35.0976,63.3675
6,12.9435,34.2546,39.2619
7,15.2419,28.2836,62.1654
8,21.7041,26.0834,63.9727
9,13.0705,26.685,100.4755
10,13.9584,38.6089,90.824
11,14.2794,26.0795,32.3618
12,13.8618,39.7681,49.5032
13,13.1432,28.0568,71.613
14,13.7478,22.1605,47.1746
15,14.5719,23.1988,57.4743
16,17.4038,27.8197,40.6392
17,16.1235,22.2375,54.2392
18,14.0883,23.3755,22.7161
19,13.2626,22.6701,74.5772
20,15.732,32.1094,26.2609
21,13.3452,30.9182,18.9648
22,16.2418,29.568,70.6294
23,16.3469,34.7178,43.398
24,12.8509,21.3801,81.741
25,13.5315,32.5792,86.8027
26,13.0681,25.5059,16.3312
27,14.1918,51.3458,17.9645
28,13.9899,20.957,68.3514
29,13.2116,38.2573,20.6028
30,16.7005,20.2309,38.2232
31,13.1261,56.9953,45.1606
32,13.3437,23.4946,89.4014
33,22.6461,35.0005,26.2286
34,16.0424,28.6731,18.5022
35,15.0154,30.3901,28.1478
36,13.2475,27.3396,76.6892
37,13.4598,26.722,52.3173
38,13.5667,31.5368,69.892
39,16.1585,18.5993,60.9298
40,13.3586,31.4887,87.3807
41,13.0428,25.394,18.3414
42,22.5997,20.1293,30.9299
43,14.6647,34.7944,43.7263
44,14.7672,26.3137,22.1166
45,13.6012,24.6765,20.691
46,21.1085,29.4094,103.0032
47,13.6135,34.7549,47.4645
48,12.8157,30.6695,38.2531
49,18.0818,30.1351,34.2481
50,13.2561,43.2559,103.8245
51,13.0725,26.9038,26.7679
52,15.4545,22.545,118.0963
53,18.7433,25.1497,24.6622
54,12.757,21.6237,22.7458
55,13.0548,25.2181,36.8867
56,14.6897,28.3794,116.8179
57,13.558,27.4377,27.2323
58,12.9148,21.0996,18.2716
59,13.0616,22.8335,61.4195
60,17.8916,26.3793,44.6495
61,13.1952,29.9497,18.822
62,21.1976,24.0764,44.9486
63,14.3261,23.6779,33.2756
64,15.5431,33.0133,43.8645
65,12.8799,22.8925,23.1354
66,13.0451,21.103,39.7557
67,13.2767,23.7516,20.1025
68,13.0412,24.8209,93.0989
69,15.5715,24.0199,26.0083
70,14.947,42.3047,28.2135
71,14.4673,20.1425,36.9208
72,13.8914,23.7076,61.0101
73,16.5223,29.7111,36.137
74,17.4775,32.283,26.8667
75,12.9832,20.6647,21.574
76,13.993,22.4528,80.7337
77,23.1467,27.5563,80.5146
78,15.1143,29.2194,27.5308
79,22.167,31.3278,105.6238
80,14.5124,25.5897,19.0596
81,13.4679,28.5295,96.4531
82,14.7111,31.1479,34.2833
83,14.4573,19.197,18.7494
84,14.125,24.8687,47.0324
85,13.819,33.4195,42.6937
86,15.0552,20.0311,76.4983
87,13.2398,40.0278,30.6108
88,14.9419,31.1331,63.822
89,19.4528,29.9982,24.6086
90,13.2443,37.4779,25.5105
91,14.7505,36.8784,17.221
92,14.014,25.7649,59.526
93,13.2956,27.2543,33.1283
94,14.0664,34.3441,17.7387
95,16.4781,26.9899,69.3091
96,13.3167,28.9198,28.9487
97,16.6748,29.3745,19.5287
98,12.9507,22.4272,54.6894
99,13.3057,21.8356,31.6722
