runtimes,rmse_LSTM,rmse_RNN,rmse_SLR
0,10.6628,11.7405,14.1968
1,10.8459,15.3256,15.7800
2,11.8524,13.8152,29.9983
3,13.9064,11.2870,15.1933
4,11.6702,10.9020,14.9836
5,12.4647,12.7476,18.0735
6,10.6902,16.5211,16.3413
7,12.7199,10.4882,15.6333
8,11.4316,18.3602,15.4274
9,12.3329,10.7087,21.5103
10,11.7394,11.1356,16.5353
11,11.5988,14.2119,19.9070
12,11.3854,11.3406,29.7147
13,13.5949,10.6125,20.2904
14,12.0964,12.1448,23.9355
15,10.8082,16.2397,18.1957
16,10.5990,17.9450,14.2522
17,10.8293,13.2043,17.1157
18,10.5502,11.3756,14.5542
19,10.9466,11.4086,13.8801
20,10.5757,12.5817,15.2585
21,10.4303,12.2964,24.4337
22,11.8587,21.4431,19.4736
23,10.6586,13.8057,26.2360
24,15.1803,11.7814,24.6104
25,10.5074,11.8960,21.1896
26,10.6293,11.3431,22.4778
27,10.4468,15.2502,19.1532
28,10.4972,13.0204,27.9554
29,10.8325,12.7615,23.0308
30,10.3339,10.9616,14.5842
31,12.2093,11.7174,15.4251
32,12.4118,11.7710,19.2029
33,10.4382,10.9648,26.1880
34,10.9357,10.8000,24.7165
35,10.7151,14.9071,25.5396
36,10.8059,24.4968,22.2455
37,15.2509,11.1117,13.8773
38,16.0586,10.7955,14.1174
39,11.1396,12.2868,27.2945
40,12.4380,10.5665,24.6324
41,12.5364,11.6708,17.2176
42,11.9269,11.6879,13.2019
43,10.5936,13.1384,24.2057
44,10.5445,17.1060,29.9831
45,12.3757,11.3485,13.2188
46,12.4769,16.1429,17.4798
47,10.6225,14.0611,17.7069
48,10.6268,10.8618,21.8883
49,11.7079,17.5030,16.6806
50,15.2498,10.2667,18.5690
51,11.3927,11.2836,14.6216
52,11.5152,17.1394,14.2508
53,13.0251,10.3775,23.4530
54,12.1215,14.1429,17.1600
55,11.2655,11.9871,19.5883
56,11.8469,11.9858,18.7830
57,11.5119,17.5739,17.4774
58,10.7655,18.0095,18.5131
59,14.2056,14.5148,15.3381
60,13.1148,12.8395,21.7688
61,19.6545,12.0062,18.9419
62,10.6147,19.1172,17.3855
63,10.4777,14.6308,26.2263
64,13.7898,11.1932,28.4888
65,10.8571,15.4278,12.4812
66,13.2686,10.5850,25.5556
67,12.6848,17.6949,25.0645
68,18.9040,11.9500,11.0388
69,12.3093,12.8146,17.0094
70,11.0830,15.4190,16.9249
71,13.9666,10.8255,12.4421
72,11.1539,19.8097,17.2471
73,12.9877,10.5996,21.0969
74,11.5789,11.6822,16.6332
75,12.1006,12.5025,14.4413
76,14.3183,16.6110,23.0782
77,11.2591,11.3763,19.7388
78,15.6905,10.6799,13.5272
79,10.7054,11.4579,10.5432
80,11.4231,10.8712,17.9140
81,10.6022,11.1956,20.2128
82,10.6475,12.5700,15.1681
83,14.4866,14.0793,18.4212
84,11.6411,11.8190,13.8316
85,12.9390,11.2512,28.3711
86,12.6518,12.1589,18.2831
87,18.9244,11.0777,17.3243
88,11.3484,11.1980,14.4428
89,14.3494,16.7139,31.0659
90,12.6172,13.2754,15.5325
91,11.5984,10.7986,23.1403
92,15.3215,12.6028,24.3254
93,13.1667,14.2836,23.1883
94,11.0986,17.9190,18.1347
95,10.6910,12.2941,25.9098
96,10.5171,11.9192,15.9023
97,10.5377,11.7783,22.8925
98,12.1282,13.2462,12.2293
99,15.3065,10.9512,26.4848
