runtimes,rmse_LSTM,rmse_RNN,rmse_SLR
0,13.4700,28.2762,15.3855
1,13.8590,17.6095,30.1615
2,15.1814,27.4469,26.3239
3,13.5782,18.1770,81.4844
4,22.0364,31.9957,42.4227
5,14.3904,19.7996,83.7071
6,13.6949,17.5119,22.2833
7,16.0662,22.3650,27.7533
8,14.6828,31.1208,34.8844
9,13.5623,19.6122,115.5469
10,20.9292,20.4617,28.2261
11,15.1489,29.5167,32.5287
12,14.2246,39.9797,32.0088
13,15.0566,16.1109,64.0747
14,23.2508,23.7448,91.9421
15,14.2430,22.0938,51.9786
16,17.3368,26.3433,34.2570
17,15.3237,28.4198,54.3193
18,24.5736,24.0979,47.0624
19,22.3260,20.8589,70.9753
20,19.5666,19.2153,23.9124
21,14.7331,34.7398,63.6154
22,13.6091,21.9912,18.8152
23,23.1874,18.5783,20.2019
24,17.4948,27.1399,26.8891
25,13.8612,16.8039,20.8907
26,15.7061,21.2503,23.2997
27,19.8147,31.6142,31.6259
28,18.6978,19.3238,21.7689
29,13.9932,38.1152,99.0794
30,14.4614,22.6127,42.3998
31,13.6273,18.9644,99.2938
32,13.3201,61.0712,97.8378
33,14.0266,19.2678,114.3085
34,14.4919,45.2713,31.4469
35,13.9066,27.8623,41.4101
36,20.6631,20.4593,21.9838
37,16.4373,32.3066,63.0891
38,20.7612,18.4332,110.2464
39,13.9294,16.8064,36.9562
40,13.7963,19.6230,54.7136
41,14.4762,28.6518,30.8127
42,13.7824,35.7669,18.6764
43,13.9231,23.9877,165.2613
44,16.6784,33.6642,62.3405
45,13.9760,29.9253,19.8787
46,14.1917,57.5142,23.8928
47,28.1895,26.4956,40.8062
48,22.2343,18.4177,51.6105
49,13.4874,27.2229,45.5654
50,20.8011,24.0503,26.1125
51,13.6496,22.5404,19.1443
52,22.4420,19.6373,33.9558
53,21.2225,22.5835,34.8404
54,15.9568,37.1201,24.3519
55,14.9885,21.4869,58.0957
56,15.8902,22.8142,54.9625
57,17.3596,23.3580,44.3649
58,13.3406,18.1744,29.7786
59,17.1745,18.3901,10.3171
60,18.2833,21.8035,54.3669
61,13.6984,19.7325,48.8636
62,17.9703,21.8063,49.6282
63,13.4002,30.7983,76.9347
64,13.3599,21.2489,24.3690
65,25.5830,26.6550,41.2445
66,27.7232,15.9801,70.0000
67,15.1898,18.1240,41.0831
68,18.9803,43.3778,30.4430
69,15.4640,20.6300,91.9368
70,16.3414,17.5703,36.8373
71,16.4791,29.9658,60.3353
72,17.5779,22.5400,78.1876
73,17.6237,37.0843,47.3716
74,17.5010,24.5775,28.7263
75,14.0209,18.7153,84.3066
76,14.3782,17.3204,26.3540
77,18.5806,18.0884,25.5465
78,18.0037,27.7879,32.5647
79,15.7780,22.0017,31.0461
80,21.9328,19.7078,91.5461
81,13.6955,32.0674,153.0152
82,25.9202,16.9510,63.1824
83,14.3104,20.8461,62.1527
84,13.7806,24.6085,23.3783
85,17.8429,30.6305,112.9285
86,17.9970,20.9092,15.7356
87,14.3080,19.5081,55.2840
88,21.2510,21.0354,21.5973
89,14.4116,22.4867,23.3461
90,18.8526,25.0209,40.5008
91,13.4906,16.9165,78.9944
92,18.0861,35.8155,120.8074
93,19.9209,31.2347,108.9694
94,15.5175,19.4294,48.0480
95,38.4387,19.3131,49.8775
96,13.4486,31.9971,51.9500
97,13.9445,22.4842,52.3870
98,13.7131,20.9551,104.4171
99,22.5148,17.7227,29.1005
