runtimes,rmse_LSTM,rmse_RNN,rmse_SLR
0,29.9534,32.3746,130.0126
1,33.5044,73.0699,49.3250
2,33.6892,45.6765,127.9534
3,31.8722,74.9325,29.2611
4,30.5193,60.3592,43.4282
5,37.3804,57.2416,59.9851
6,32.8346,61.5537,33.4695
7,29.9209,91.4911,58.9942
8,32.6684,34.0907,152.8006
9,34.2592,97.3322,82.0081
10,35.2773,69.7183,102.6339
11,40.1815,63.5797,72.0948
12,33.2679,33.2755,51.5653
13,30.4114,62.2865,40.6041
14,32.6238,90.6667,164.2442
15,33.0077,79.7427,185.2722
16,37.3816,72.7852,36.7814
17,31.9786,28.6324,28.7354
18,30.2636,40.9656,93.9929
19,37.0408,29.1529,34.2985
20,31.3129,52.5131,80.6352
21,28.5659,62.9913,128.2351
22,37.8965,76.8699,80.4965
23,31.8546,69.6696,46.8671
24,36.5520,25.7166,68.0881
25,36.9059,59.8750,115.9083
26,35.3833,58.1760,57.8083
27,34.7169,64.2333,138.7543
28,29.4670,64.2832,112.6161
29,34.0067,90.9476,43.1425
30,33.5168,36.9655,133.0331
31,34.1491,90.7314,65.3042
32,36.0318,42.9345,46.6277
33,33.8815,76.7460,16.1343
34,39.7414,87.0841,54.0076
35,29.6196,51.0508,62.5064
36,30.1308,51.0448,54.2210
37,29.1409,69.7163,98.4581
38,32.1001,40.4783,24.9748
39,34.5305,68.2294,38.9628
40,28.9464,94.3619,22.8589
41,35.3425,93.4792,20.8471
42,34.7754,90.1287,77.1334
43,31.0296,64.8534,173.8751
44,30.5798,76.2379,143.5169
45,37.1616,16.7942,124.1537
46,29.8978,71.1203,97.8798
47,29.5065,61.8858,25.6846
48,35.1097,77.7273,37.0013
49,28.3163,47.2903,68.2667
50,32.7199,59.8019,90.0998
51,25.8851,116.8168,76.2314
52,34.3366,62.6146,51.7338
53,28.6793,76.9716,81.5430
54,27.6085,20.5263,24.9074
55,35.9962,56.2418,171.7275
56,31.6656,50.2819,70.1716
57,31.6406,44.2524,140.2292
58,34.2352,55.7685,83.0409
59,38.3521,57.3303,239.9251
60,35.6121,44.4497,59.2586
61,31.9713,54.3207,92.9113
62,35.9830,64.3402,140.3268
63,35.3453,61.7580,63.5746
64,40.0547,118.0475,60.1950
65,34.2241,26.5875,118.3715
66,33.3235,70.9938,79.5189
67,35.4329,69.0582,73.1999
68,25.1903,62.8954,110.9756
69,35.8164,75.4805,41.0723
70,33.5202,57.6150,195.4606
71,31.7801,76.4447,55.8829
72,30.8724,72.5769,90.7687
73,32.7901,76.7107,164.6380
74,23.6918,56.7083,163.8576
75,31.2607,102.9289,42.8135
76,37.9173,64.5052,137.1705
77,27.9891,96.0977,84.9515
78,44.7885,67.7669,37.9005
79,40.1292,66.7565,91.6318
80,36.1819,38.7324,36.6112
81,29.6023,64.6514,64.7123
82,28.3494,53.8391,29.6459
83,34.2174,84.8884,102.9957
84,33.6817,73.6129,131.9043
85,40.2365,83.3532,95.1981
86,35.9438,65.6610,33.3502
87,33.1988,94.8645,64.0070
88,38.2340,52.8347,28.6940
89,32.3657,105.7205,34.4365
90,33.6802,86.9503,42.1897
91,31.7907,64.5084,60.3912
92,41.0014,71.2139,240.3022
93,33.1361,69.1788,48.3612
94,42.8604,94.4601,33.4591
95,33.1465,65.4839,65.0674
96,29.8710,44.8360,132.0912
97,32.1039,55.3662,92.3402
98,29.9765,71.3510,56.2042
99,35.4018,15.3691,66.9049
