runtimes,rmse_LSTM,rmse_RNN,rmse_SLR
0,41.9209,32.8359,106.4321
1,47.6269,35.0385,34.9466
2,49.3111,22.0243,136.8545
3,46.1362,13.0055,56.2219
4,40.5142,16.101,30.7035
5,44.7945,31.4655,33.6841
6,34.0103,15.5566,32.1168
7,41.7188,16.6649,70.0008
8,51.9649,16.1178,20.4662
9,45.9465,20.0384,100.0841
10,43.818,23.3507,62.013
11,45.6334,34.2056,103.539
12,20.8792,25.5546,23.7654
13,58.3057,21.1681,78.1076
14,41.7962,38.0049,140.4066
15,49.4036,15.3456,104.5279
16,58.0001,13.9133,59.4807
17,65.8622,25.3908,39.3279
18,50.564,26.2634,53.5124
19,60.7401,20.867,35.9308
20,43.3055,20.4494,22.1912
21,39.5694,38.594,22.8682
22,40.0468,14.7303,56.4199
23,43.4328,17.3779,91.5142
24,52.647,26.9351,22.2775
25,49.1295,18.0223,142.6972
26,53.7261,16.0484,22.5062
27,51.0231,17.4072,34.854
28,57.91,17.8804,165.8699
29,50.8325,24.2355,25.1374
30,45.5932,34.1239,44.6158
31,54.3039,20.5085,108.7829
32,46.0924,24.1492,25.0569
33,51.614,21.1078,63.9621
34,51.74,20.4548,137.4721
35,48.608,20.7937,22.9007
36,35.6037,15.9122,86.9352
37,46.5334,26.0208,107.711
38,35.9708,15.155,50.7175
39,52.2567,19.3472,30.9264
40,45.3618,16.6792,35.8192
41,49.3648,25.6351,102.9331
42,52.9939,18.5899,36.1851
43,57.6501,17.67,83.1005
44,60.575,17.8048,104.9782
45,48.774,21.2862,100.9224
46,57.2249,35.4372,71.6479
47,48.6302,15.6028,90.8381
48,50.2755,17.5009,81.3724
49,49.3858,37.4701,77.3213
50,32.9428,27.1128,158.1115
51,46.4101,18.7951,114.4974
52,49.4573,18.7753,77.5335
53,49.169,25.4851,102.3938
54,49.4314,28.6131,105.8243
55,39.1429,16.7169,45.8795
56,49.032,25.1064,158.4929
57,35.1544,27.6073,20.1954
58,45.029,18.9978,17.7557
59,46.9179,36.7059,107.0456
60,49.011,31.4111,26.0943
61,50.0479,14.7689,147.1946
62,32.6357,13.8378,139.0109
63,47.4348,21.3744,62.842
64,41.7964,22.5742,39.9736
65,55.5904,22.8061,65.8476
66,49.3992,27.2819,69.9671
67,51.9335,28.3499,56.886
68,44.9244,18.7861,108.2923
69,49.4168,20.7325,94.0755
70,52.7688,40.0523,36.0641
71,48.7046,16.8993,38.9779
72,51.9762,18.327,19.7513
73,36.4969,14.1364,32.866
74,54.1374,20.5569,81.8432
75,50.722,16.2848,19.3561
76,52.392,18.4477,103.141
77,58.2164,16.7813,24.763
78,48.5946,18.0366,77.1089
79,44.6623,16.7026,73.5184
80,48.4734,25.8991,92.9834
81,49.8787,20.9881,103.2005
82,48.7854,45.2228,26.3343
83,56.1359,16.3893,58.938
84,56.5545,25.786,40.1521
85,49.6375,16.2496,16.9056
86,51.1604,27.1512,40.5604
87,46.5218,28.323,24.5695
88,61.235,20.6726,82.6647
89,53.9693,16.8154,173.7879
90,57.2418,23.25,34.0847
91,51.5787,20.0645,79.6082
92,41.5303,38.9175,98.4805
93,50.6467,19.964,146.7968
94,52.6645,22.6796,41.2748
95,52.8223,21.199,33.9008
96,47.9732,16.157,20.5693
97,45.5459,30.0701,96.035
98,44.3514,27.685,106.8479
99,51.0214,15.0362,28.5859
