runtimes,rmse_LSTM,rmse_RNN,rmse_SLR
0,15.3516,22.8532,60.4003
1,14.3068,22.6185,30.9314
2,14.6991,31.4137,23.9921
3,14.5011,19.1019,113.4588
4,28.1980,19.8497,48.3360
5,13.2981,27.3931,64.0310
6,25.6835,20.9892,33.5439
7,16.5492,15.3401,153.9751
8,24.4369,26.3236,21.6352
9,23.4357,20.1902,35.0404
10,14.7511,17.1376,19.0168
11,17.4714,17.2675,77.9418
12,40.9981,29.3216,31.8441
13,14.0167,18.5279,159.1668
14,26.0007,33.0045,78.0866
15,29.3401,17.4322,50.4535
16,32.1673,23.0775,94.2409
17,18.2398,16.1917,88.4456
18,25.8757,19.9328,28.0692
19,16.5420,27.0940,128.4144
20,13.7756,17.7322,36.6473
21,18.0530,15.2444,39.9630
22,18.8835,20.6203,118.3274
23,13.4054,20.3102,34.6019
24,16.6978,34.3432,90.4186
25,14.5034,27.3153,146.2033
26,14.4539,12.6988,61.5756
27,18.1788,15.6026,80.8019
28,33.4085,18.2216,41.9439
29,50.5940,43.9390,138.2389
30,16.4283,52.6221,32.0737
31,16.6700,17.3724,35.6672
32,17.0717,25.6015,98.8637
33,14.7599,15.7695,98.0574
34,14.2070,18.1309,79.4388
35,19.8151,20.9258,88.8110
36,14.3901,18.5470,109.1547
37,30.3254,23.2669,15.8897
38,15.3243,19.2367,66.5718
39,17.1486,18.5155,13.1580
40,18.6123,13.7337,31.1459
41,19.3108,34.5423,62.2301
42,29.0780,16.9756,41.7131
43,15.1041,22.0077,22.1226
44,18.6897,20.4218,96.7690
45,15.4092,16.5416,25.2749
46,13.7655,58.7847,22.3291
47,30.1981,26.8779,92.5490
48,17.1129,24.6160,48.3254
49,14.4333,30.7319,103.4611
50,21.6908,26.5278,26.4852
51,21.3324,18.1006,49.1179
52,15.6213,32.5135,44.5396
53,28.3123,25.9239,56.9454
54,29.2416,19.9611,90.6414
55,29.7593,17.2683,23.1016
56,15.7338,22.7042,233.6813
57,17.3575,38.4838,68.1042
58,36.9974,23.4855,109.1930
59,27.6282,22.2296,38.1559
60,14.8441,15.8357,57.6497
61,13.7991,18.6074,194.4407
62,23.1451,18.6289,73.5634
63,19.7719,18.2114,21.7129
64,17.6535,24.4661,49.5621
65,15.1001,20.1944,81.8747
66,19.6520,37.1054,66.4855
67,14.1642,25.7506,94.7666
68,16.0297,32.4977,106.2975
69,15.2612,32.1873,16.3553
70,28.4287,28.5069,202.5661
71,19.4546,19.8968,65.7213
72,19.5794,28.7159,28.9579
73,13.8712,20.6542,81.5780
74,15.1554,21.6605,49.6769
75,13.8580,20.5694,97.9141
76,26.7804,17.3232,32.9703
77,13.5474,26.7077,32.2809
78,14.4401,16.1766,58.3881
79,49.6016,20.1617,34.4732
80,19.0839,17.4843,30.8950
81,23.3809,15.6545,34.2222
82,17.8782,15.7083,118.2146
83,32.2072,25.4648,20.5627
84,13.8709,20.9386,38.7283
85,15.0796,29.9587,34.5674
86,21.2780,44.5871,23.6017
87,13.4413,20.3025,34.7780
88,32.3798,18.1483,107.7366
89,27.7490,13.6967,114.1748
90,16.6892,14.7110,63.5103
91,13.6757,21.6004,24.7696
92,20.0228,18.0932,29.4249
93,27.0254,34.4674,45.7400
94,18.7049,21.4071,19.8140
95,17.4700,21.8691,41.5356
96,13.6606,22.2390,24.3854
97,24.2649,62.6129,28.4568
98,16.0554,25.4784,19.9129
99,29.5567,16.8755,55.6189
