runtimes,rmse_LSTM,rmse_RNN,rmse_SLR
0,15.0811,20.8933,44.0489
1,14.4461,24.6014,21.7068
2,13.2458,20.7600,23.9199
3,14.5979,14.3420,21.3702
4,14.3475,15.7709,14.9690
5,13.1837,23.8019,22.0227
6,16.7645,19.0408,47.1927
7,12.4623,20.0872,24.4278
8,14.0644,17.3900,19.8249
9,14.1339,19.0018,45.4062
10,17.0415,16.4603,22.0012
11,13.5077,16.8137,44.6006
12,14.7851,16.5819,41.5621
13,19.4787,16.6408,41.3071
14,14.4564,28.5858,20.2380
15,14.3323,14.5763,50.9109
16,14.2478,18.9263,19.4888
17,14.5269,21.0866,29.7766
18,14.0237,17.0277,55.4251
19,16.3644,18.3164,21.4880
20,17.6005,20.5266,20.0180
21,13.6498,25.4823,26.2141
22,15.2482,17.4948,37.4091
23,16.9167,15.7041,19.4633
24,17.7192,23.8955,20.0566
25,15.4236,39.6673,23.0966
26,22.6590,23.4462,35.8188
27,15.0881,20.3636,54.5692
28,15.9791,18.8278,30.2339
29,14.8261,23.4648,33.0462
30,14.9754,19.9522,40.3512
31,11.4363,15.9739,32.6535
32,14.3230,13.8586,29.7622
33,14.4752,21.0318,32.9855
34,15.6472,20.7885,30.3300
35,16.6890,28.0224,29.4074
36,13.6984,14.2161,58.2484
37,14.9386,22.0637,30.3271
38,14.8371,21.7996,51.5183
39,16.2294,19.1041,33.5540
40,18.1716,23.9835,18.3380
41,15.9719,23.2602,86.0279
42,15.2436,14.0254,28.0570
43,21.5893,25.0316,24.1103
44,16.9991,16.5870,45.0164
45,14.4005,19.8454,21.9459
46,15.0826,31.8301,49.9512
47,13.9733,27.3333,40.8714
48,14.8771,19.4915,18.4046
49,18.5474,33.6566,39.1495
50,15.1296,15.3679,25.0619
51,15.3625,16.5458,23.3321
52,15.1184,26.2392,25.3824
53,14.5799,16.8713,48.4148
54,18.0969,27.3332,35.3968
55,13.9410,23.2104,45.3546
56,14.9889,15.2734,41.6298
57,12.7500,14.6667,18.7051
58,13.0434,23.2758,50.9459
59,12.5842,20.9574,19.2363
60,16.0216,16.3283,32.6858
61,15.2181,22.1234,40.1349
62,14.4518,15.8991,19.5359
63,12.5694,24.2386,25.3011
64,14.7133,23.3221,44.8334
65,14.9170,22.4904,19.0670
66,15.9320,24.5517,21.3260
67,13.9324,17.2938,37.8232
68,13.7245,19.7310,30.9592
69,13.5202,27.2979,26.8059
70,14.6955,23.5933,29.0252
71,14.3232,16.5171,23.7488
72,15.7936,18.8998,18.7034
73,13.7599,16.3940,46.4173
74,14.5696,22.1855,33.1084
75,16.3019,23.1116,54.6167
76,14.8431,21.6931,24.4484
77,15.3668,15.1274,42.1596
78,15.0783,19.0370,21.6881
79,14.8991,14.1613,50.7937
80,12.8986,20.8722,41.9103
81,14.1537,19.6485,14.6478
82,16.2917,20.9417,29.6966
83,14.3452,20.0018,26.0244
84,14.2843,14.6213,28.2309
85,16.4974,16.4081,23.3871
86,16.5963,23.8086,25.6791
87,14.6650,14.7841,28.0698
88,15.6856,23.7773,19.2021
89,14.8545,18.2382,22.9940
90,13.7018,20.8176,26.2218
91,14.5449,20.7201,23.9828
92,15.3011,22.9733,42.8808
93,14.2789,16.8893,33.3770
94,13.9823,16.7843,27.6912
95,14.0914,18.1239,62.5836
96,16.2329,20.4507,29.1754
97,15.7540,21.0584,71.8898
98,17.0449,22.0646,35.5863
99,13.3542,28.9042,18.1508
